grid,probability
"(15, 44)",0.96
"(15, 45)",0.96
"(15, 46)",0.95
"(15, 47)",0.94
"(15, 48)",0.95
"(15, 49)",0.93
"(15, 50)",0.97
"(15, 51)",0.96
"(15, 52)",0.95
"(15, 53)",0.94
"(15, 54)",0.92
"(15, 55)",0.83
"(15, 56)",0.86
"(15, 57)",0.86
"(15, 58)",0.85
"(15, 59)",0.86
"(15, 60)",0.83
"(15, 61)",0.8
"(15, 62)",0.81
"(15, 63)",0.71
"(15, 64)",0.52
"(15, 65)",0.63
"(15, 66)",0.64
"(16, 0)",0.45
"(16, 1)",0.46
"(16, 2)",0.63
"(16, 3)",0.62
"(16, 4)",0.46
"(16, 5)",0.4
"(16, 6)",0.35
"(16, 7)",0.56
"(16, 8)",0.65
"(16, 9)",0.56
"(16, 10)",0.59
"(16, 11)",0.62
"(16, 12)",0.6
"(16, 13)",0.68
"(16, 14)",0.61
"(16, 15)",0.53
"(16, 16)",0.61
"(16, 17)",0.76
"(16, 18)",0.8
"(16, 19)",0.79
"(16, 20)",0.81
"(16, 21)",0.8
"(16, 22)",0.81
"(16, 23)",0.81
"(16, 24)",0.77
"(16, 25)",0.78
"(16, 26)",0.84
"(16, 27)",0.9
"(16, 28)",0.88
"(16, 29)",0.82
"(16, 30)",0.8
"(16, 31)",0.77
"(16, 32)",0.71
"(16, 33)",0.68
"(16, 34)",0.69
"(16, 35)",0.68
"(16, 36)",0.67
"(16, 37)",0.73
"(16, 38)",0.78
"(16, 39)",0.87
"(16, 40)",0.83
"(16, 41)",0.87
"(16, 42)",0.85
"(16, 43)",0.82
"(16, 44)",0.84
"(16, 45)",0.9
"(16, 46)",0.9
"(16, 47)",0.89
"(16, 48)",0.91
"(16, 49)",0.9
"(16, 50)",0.93
"(16, 51)",0.93
"(16, 52)",0.93
"(16, 53)",0.92
"(16, 54)",0.92
"(16, 55)",0.82
"(16, 56)",0.85
"(16, 57)",0.81
"(16, 58)",0.78
"(16, 59)",0.79
"(16, 60)",0.8
"(16, 61)",0.79
"(16, 62)",0.8
"(16, 63)",0.79
"(16, 64)",0.62
"(16, 65)",0.71
"(16, 66)",0.72
"(17, 0)",0.49
"(17, 1)",0.5
"(17, 2)",0.69
"(17, 3)",0.64
"(17, 4)",0.45
"(17, 5)",0.37
"(17, 6)",0.33
"(17, 7)",0.53
"(17, 8)",0.63
"(17, 9)",0.54
"(17, 10)",0.57
"(17, 11)",0.61
"(17, 12)",0.6
"(17, 13)",0.71
"(17, 14)",0.64
"(17, 15)",0.58
"(17, 16)",0.53
"(17, 17)",0.61
"(17, 18)",0.62
"(17, 19)",0.64
"(17, 20)",0.69
"(17, 21)",0.72
"(17, 22)",0.73
"(17, 23)",0.74
